Mode,Load,Time
Train,479.8844348,1
Train,420.02388045,1.25
Train,360.1633261,1.5
Train,300.30277175,1.75
Train,240.4422174,2
Train,180.58166305,2.25
Train,120.7211087,2.5
Train,60.86055435,2.75
Train,1,3
Train,278.612044,3.25
Train,556.224088,3.5
Train,833.836132,3.75
Train,1111.448176,4
Train,3181.9429395,4.25
Train,5252.437703,4.5
Train,7322.9324665,4.75
Train,9393.42723,5
Train,15782.592995,5.25
Train,22171.75876,5.5
Train,28560.924525,5.75
Train,34950.09029,6
Train,52325.7493675,6.25
Train,69701.408445,6.5
Train,87077.0675225,6.75
Train,104452.7266,7
Train,101828.096775,7.25
Train,99203.46695,7.5
Train,96578.837125,7.75
Train,93954.2073,8
Train,80014.8790225,8.25
Train,66075.550745,8.5
Train,52136.2224675,8.75
Train,38196.89419,9
Train,35337.66703,9.25
Train,32478.43987,9.5
Train,29619.21271,9.75
Train,26759.98555,10
Train,26717.2264325,10.25
Train,26674.467315,10.5
Train,26631.7081975,10.75
Train,26588.94908,11
Train,27110.0036125,11.25
Train,27631.058145,11.5
Train,28152.1126775,11.75
Train,28673.16721,12
Train,28911.8093175,12.25
Train,29150.451425,12.5
Train,29389.0935325,12.75
Train,29627.73564,13
Train,30806.3560825,13.25
Train,31984.976525,13.5
Train,33163.5969675,13.75
Train,34342.21741,14
Train,40214.9512475,14.25
Train,46087.685085,14.5
Train,51960.4189225,14.75
Train,57833.15276,15
Train,62532.61105,15.25
Train,67232.06934,15.5
Train,71931.52763,15.75
Train,76630.98592,16
Train,84804.622615,16.25
Train,92978.25931,16.5
Train,101151.896005,16.75
Train,109325.5327,17
Train,95621.3795725,17.25
Train,81917.226445,17.5
Train,68213.0733175,17.75
Train,54508.92019,18
Train,47095.4135075,18.25
Train,39681.906825,18.5
Train,32268.4001425,18.75
Train,24854.89346,19
Train,22793.499455,19.25
Train,20732.10545,19.5
Train,18670.711445,19.75
Train,16609.31744,20
Train,16003.394725,20.25
Train,15397.47201,20.5
Train,14791.549295,20.75
Train,14185.62658,21
Train,13579.703865,21.25
Train,12973.78115,21.5
Train,12367.858435,21.75
Train,11761.93572,22
Train,10545.90104975,22.25
Train,9329.8663795,22.5
Train,8113.83170925,22.75
Train,6897.797039,23
