O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,distance_group
Pakenham - South,Belgrave - Selby,15,0.000529100529100529,30.7065555555556,0.0166666666666667,-38.0771484183333,145.474484893611,52.9539647110004,-37.92315365,145.360441331935,36.396244468842,-0.637437098872936,-36.5224554704826,44.6751045899212,-38.0001510341667,145.417463112773,"(20, Inf]"
Balwyn,Blackburn,31,0.00109649122807018,8.74855555555556,0.0166666666666667,-37.809434576,145.081720413429,10.0597559909776,-37.8153263973333,145.152700805556,16.2509791391393,1.65361279450456,94.7450340739452,13.1553675650585,-37.8123804866667,145.117210609493,"(5,10]"
Albert Park,Keilor,20,0.000571102227298687,24.9645555555556,0.0166666666666667,-37.8458417618182,144.961000840606,3.14005380732962,-37.7168960757692,144.836042421154,16.1445162311559,-0.769695625344006,-44.1003108418942,9.64228501924277,-37.7813689187937,144.89852163088,"(20, Inf]"
Watsonia,Kingsbury,70,0.00171526586620926,4.39822222222222,0.0166666666666667,-37.7041500236364,145.084264137273,16.2944522452109,-37.713080972381,145.046763210476,13.5885126847105,-1.80459393094577,-103.395615978115,14.9414824649607,-37.7086154980087,145.065513673875,"(-Inf,5]"
Clayton South,Ringwood,16,0.000591366055588409,24.6964444444444,0.0166666666666667,-37.9383514826667,145.125107845333,19.2239987894396,-37.8108325775,145.233993813542,23.4036139457814,0.706742864781264,40.4933833529514,21.3138063676105,-37.8745920300834,145.179550829438,"(20, Inf]"
Deer Park - Derrimut,Sunshine West,211,0.00130378096479791,7.82333333333333,0.0166666666666667,-37.7683074241304,144.767221748261,18.4682836499702,-37.7944862204444,144.810065714,14.0982656621366,2.11928408644229,121.426033742382,16.2832746560534,-37.7813968222874,144.788643731131,"(5,10]"
Dandenong North,Wheelers Hill,42,0.00131752305665349,8.37666666666667,0.0166666666666667,-37.9563088301818,145.211580167636,26.3457145255323,-37.90899625875,145.18478341,21.5684513415287,-0.515329806207305,-29.5262229529732,23.9570829335305,-37.9326525444659,145.198181788818,"(5,10]"
Hughesdale,Clarinda - Oakleigh South,19,0.00327332242225859,5.692,0.0333333333333333,-37.8994823882353,145.081312504706,13.4649978424552,-37.93754638625,145.09934711625,17.6019741023329,2.69912624013196,154.648541932575,15.533485972394,-37.9185143872427,145.090329810478,"(5,10]"
Wantirna,Mount Waverley - North,15,0.0018450184501845,10.7328888888889,0.0333333333333333,-37.8538112913158,145.229635988158,23.3402516453563,-37.8663134375676,145.131219524054,15.3241991379126,-1.69715261667961,-97.2396821253258,19.3322253916345,-37.8600623644417,145.180427756106,"(10,20]"
Upwey - Tecoma,Pakenham - South,18,0.000890471950133571,36.4385555555556,0.0333333333333333,-37.9055039162963,145.331886667037,33.412850860747,-38.0771484183333,145.474484893611,52.9539647110004,2.44836519957045,140.280992642092,43.1834077858737,-37.9913261673148,145.403185780324,"(20, Inf]"
Albert Park,South Melbourne,185,0.00714285714285714,1.63911111111111,0.0333333333333333,-37.8458417618182,144.961000840606,3.14005380732962,-37.8344848634615,144.960886178462,1.91775318723078,-0.0100959121612808,-0.578453157176189,2.5289034972802,-37.8401633126398,144.960943509534,"(-Inf,5]"
Surrey Hills (East) - Mont Albert,Forest Hill,26,0.00403225806451613,6.89022222222222,0.05,-37.824658573913,145.106693387391,12.2276323238721,-37.8392435313636,145.171357404545,18.0377273206998,1.79263403438221,102.71036438161,15.132679822286,-37.8319510526383,145.139025395968,"(5,10]"
Melton,Gisborne,46,0.0022140221402214,25.5238888888889,0.05,-37.671096485,144.584726525556,37.4341796439234,-37.4903477486667,144.587908378,49.4601000882238,0.0176019146435713,1.00851542042616,43.4471398660736,-37.5807221168334,144.586317451778,"(20, Inf]"
Melton South,Sydenham,22,0.00202565833896016,22.2757777777778,0.05,-37.7056849288462,144.565531991538,37.5007317989156,-37.7007808785185,144.764919603704,22.0923828889003,1.54620572286969,88.5910621794076,29.7965573439079,-37.7032329036824,144.665225797621,"(20, Inf]"
Box Hill North,Knoxfield - Scoresby,32,0.00323886639676113,20.7962222222222,0.0666666666666667,-37.8051807067568,145.123223970811,13.7351089439128,-37.8899692435294,145.238525795588,25.0818780269024,2.20486285968986,126.329336265374,19.4084934854076,-37.8475749751431,145.1808748832,"(20, Inf]"
Moorabbin - Heatherton,Mentone,42,0.00658978583196046,4.87311111111111,0.0666666666666667,-37.9457522343478,145.061999896522,16.4287588601384,-37.9811486364706,145.068559687941,20.1728416291504,2.95834793905357,169.500851238995,18.3008002446444,-37.9634504354092,145.065279792231,"(-Inf,5]"
St Albans - North,Ardeer - Albion,21,0.00573394495412844,7.38344444444444,0.0833333333333333,-37.7370182206667,144.803217596,17.0397915327674,-37.7793185794737,144.813504730526,14.2205613076376,2.90303113944304,166.331432085141,15.6301764202025,-37.7581684000702,144.808361163263,"(5,10]"
Wantirna,Bayswater,195,0.0113895216400911,4.049,0.0833333333333333,-37.8538112913158,145.229635988158,23.3402516453563,-37.8474154257143,145.260459220357,25.9138190106233,1.36619834204179,78.2773989767648,24.6270353279898,-37.8506133585151,145.245047604258,"(-Inf,5]"
Caulfield - South,Bentleigh - McKinnon,70,0.00897666068222621,4.34266666666667,0.0833333333333333,-37.8913691574419,145.026368861163,9.63675808848271,-37.9192186053846,145.037793774808,12.8152418187759,2.75229132659602,157.694677004415,11.2259999536293,-37.9052938814133,145.032081317986,"(-Inf,5]"
Ardeer - Albion,Footscray,48,0.00481695568400771,8.49533333333333,0.0833333333333333,-37.7793185794737,144.813504730526,14.2205613076376,-37.7962354586667,144.895195199333,6.82074516276372,1.77499511159022,101.699728550472,10.5206532352007,-37.7877770190702,144.85434996493,"(5,10]"
Elwood,Prahran - Windsor,86,0.00633713561470215,4.18588888888889,0.0833333333333333,-37.88012693225,144.9856977465,7.07440865868294,-37.8528638282927,144.998128487805,4.69708751091048,0.427794837102006,24.5108386634315,5.88574808479671,-37.8664953802713,144.991913117152,"(-Inf,5]"
Watsonia,Reservoir - East,23,0.00693481276005548,6.82533333333333,0.0833333333333333,-37.7041500236364,145.084264137273,16.2944522452109,-37.7153811956897,145.02125139931,12.3534956332485,-1.74718061915311,-100.106075524527,14.3239739392297,-37.7097656096631,145.052757768292,"(5,10]"
Niddrie - Essendon West,Coburg,13,0.00652173913043478,9.11477777777778,0.1,-37.7423617476471,144.885436101176,11.1016555622354,-37.7449590106667,144.962150977833,8.14848566655979,1.60463945421657,91.9390683667853,9.6250706143976,-37.7436603791569,144.923793539505,"(5,10]"
Bayswater,Glen Waverley - East,17,0.00643776824034335,11.6608888888889,0.1,-37.8474154257143,145.260459220357,25.9138190106233,-37.8804266059259,145.17659291037,19.6042214040036,-1.94578777609502,-111.485427398391,22.7590202073135,-37.8639210158201,145.218526065364,"(10,20]"
Beaumaris,Mentone,126,0.0138888888888889,2.90977777777778,0.1,-37.9818509059375,145.039672120625,19.270619244986,-37.9811486364706,145.068559687941,20.1728416291504,1.54649067440959,88.6073887000098,19.7217304370682,-37.9814997712041,145.054115904283,"(-Inf,5]"
Dingley Village,Moorabbin - Heatherton,188,0.00772200772200772,7.93911111111111,0.1,-37.9799077192308,145.128208536538,22.8464580946731,-37.9457522343478,145.061999896522,16.4287588601384,-1.09452829852149,-62.7118520629162,19.6376084774058,-37.9628299767893,145.09510421653,"(5,10]"
Eltham,Plenty - Yarrambat,70,0.00739827373612824,7.42722222222222,0.1,-37.7094983478333,145.1544939715,20.3807718780652,-37.6712524676,145.117477282,20.9765789626212,-0.769067582796015,-44.0643266545396,20.6786754203432,-37.6903754077167,145.13598562675,"(5,10]"
Meadow Heights,Roxburgh Park - Somerton,120,0.0112994350282486,4.90588888888889,0.1,-37.6508287413333,144.919277931333,19.082312147847,-37.6251263270213,144.926135961277,21.7681294105076,0.260749598945729,14.9398515293191,20.4252207791773,-37.6379775341773,144.922706946305,"(-Inf,5]"
Reservoir - West,Roxburgh Park - Somerton,66,0.0042674253200569,15.4655555555556,0.1,-37.710813782931,144.995146391034,12.1714654358075,-37.6251263270213,144.926135961277,21.7681294105076,-0.678009055189605,-38.8470573340169,16.9697974231575,-37.6679700549762,144.960641176156,"(10,20]"
Prahran - Windsor,South Yarra - East,133,0.0134529147982063,1.833,0.1,-37.8528638282927,144.998128487805,4.69708751091048,-37.8402598080645,144.995297386774,3.45388538697645,-0.220951666602761,-12.6595979727199,4.07548644894347,-37.8465618181786,144.996712937289,"(-Inf,5]"
Clayton South,Bentleigh - McKinnon,34,0.00664767331433998,9.82644444444444,0.116666666666667,-37.9383514826667,145.125107845333,19.2239987894396,-37.9192186053846,145.037793774808,12.8152418187759,-1.35507879569001,-77.6402959007077,16.0196203041078,-37.9287850440256,145.081450810071,"(5,10]"
Gladstone Park - Westmeadows,Campbellfield - Coolaroo,340,0.00858895705521472,6.86277777777778,0.116666666666667,-37.6823422158333,144.891958654583,16.5009599939906,-37.6694829204545,144.9444417,16.6526591709967,1.33051199144564,76.2327217013815,16.5768095824936,-37.6759125681439,144.918200177292,"(5,10]"
Springvale,Carrum - Patterson Lakes,11,0.00510948905109489,18.8905555555556,0.116666666666667,-37.9483647261224,145.153076121225,21.7802249998591,-38.070940295,145.137909795667,31.8288136649423,-3.01848791027473,-172.946617770005,26.8045193324007,-38.0096525105612,145.145492958446,"(10,20]"
Mount Dandenong - Olinda,Knoxfield - Scoresby,94,0.00466977985323549,17.3824444444444,0.116666666666667,-37.8639481015625,145.366531689062,35.3886823695331,-37.8899692435294,145.238525795588,25.0818780269024,-1.77134451404928,-101.490564718676,30.2352801982178,-37.876958672546,145.302528742325,"(10,20]"
Laverton,Altona,33,0.0100882723833544,7.33511111111111,0.133333333333333,-37.8527976092308,144.773751941538,17.4662790901407,-37.865484621,144.824065299667,13.6712369391544,1.81780680934267,104.152658145477,15.5687580146476,-37.8591411151154,144.798908620603,"(5,10]"
Sunshine,Altona North,71,0.0082389289392379,7.73677777777778,0.133333333333333,-37.7873293768421,144.836149447895,12.0563836148709,-37.833761955,144.849617844062,10.518908516968,2.8592766580252,163.824484965115,11.2876460659194,-37.8105456659211,144.842883645979,"(5,10]"
Reservoir - West,Keilor,85,0.00573476702508961,19.908,0.133333333333333,-37.710813782931,144.995146391034,12.1714654358075,-37.7168960757692,144.836042421154,16.1445162311559,-1.6090061371882,-92.1892608715311,14.1579908334817,-37.7138549293501,144.915594406094,"(10,20]"
Richmond (Vic.),Keilor,22,0.00382043935052531,29.8547777777778,0.133333333333333,-37.8201135681967,145.001203445246,2.94866416903657,-37.7168960757692,144.836042421154,16.1445162311559,-1.0122324865268,-57.9966493640186,9.54659020009624,-37.768504821983,144.9186229332,"(20, Inf]"
Mount Waverley - South,Keysborough,25,0.00740055504162812,18.2735555555556,0.133333333333333,-37.8864399546341,145.125891255366,15.8292184543349,-37.9926837945652,145.168830199348,26.2321038104859,2.75750980418184,157.993673745565,21.0306611324104,-37.9395618745997,145.147360727357,"(10,20]"
Wandin - Seville,Kilsyth,53,0.00668896321070234,14.595,0.133333333333333,-37.7768325861538,145.450943894615,42.704466846075,-37.806421814,145.3202036125,30.9908110538788,-1.79336744287446,-102.752385592875,36.8476389499769,-37.7916272000769,145.385573753557,"(10,20]"
