orig_Suburb,freeflow,extra,distance,Drivers,n_bridges,railway,colorn,color.txt,color,Size,text
Ryde,1.96476400016605,17.7677370030581,14.4458405196184,336,1,1,2,1 bridge   Railway,1 bridge   Railway,1.96576381365114,Ryde
Balmain,1.88014798268882,8.08269230769231,5.76009436113261,394,1,0,4,1 bridge   No railway,1 bridge   No railway,2.30509209100758,Balmain
Killara,1.8319600023459,16.0290960451977,15.5722733704852,404,1,1,2,1 bridge   Railway,1 bridge   Railway,2.36359696641387,Killara
Drummoyne,2.25800677966102,13.1042372881356,7.38584866275235,420,2,0,6,2 bridges No railway,2 bridges No railway,2.45720476706392,Drummoyne
Paddington,1.66396791767554,7.4364406779661,4.4771584429356,423,0,0,2,0 bridges No railway,0 bridges No railway,2.47475622968581,
Zetland,1.76316163242117,9.10706214689265,7.14651275428102,439,0,0,2,0 bridges No railway,0 bridges No railway,2.56836403033586,
Wareemba,1.86717956728892,12.545197740113,10.1082169802622,446,0,0,2,0 bridges No railway,0 bridges No railway,2.60931744312026,
Manly,1.87860317781473,21.2475535168196,16.7736576683377,456,2,0,6,2 bridges No railway,2 bridges No railway,2.66782231852654,Manly
Cremorne,2.37133382461312,10.5135593220339,5.87149405598993,470,1,0,4,1 bridge   No railway,1 bridge   No railway,2.74972914409534,Cremorne
Balgowlah,2.23769210503205,19.9062146892655,11.8661388663687,483,2,0,6,2 bridges No railway,2 bridges No railway,2.82578548212351,Balgowlah
Bronte,1.72708991669061,11.4395480225989,8.67811557498557,498,0,0,2,0 bridges No railway,0 bridges No railway,2.91354279523294,
Bondi Beach,1.69053550204334,11.980790960452,9.72923848220376,500,0,1,1,0 bridges Railway,0 bridges Railway,2.92524377031419,
Vaucluse,1.82225782003583,13.4850282485876,9.68911000754004,505,0,0,2,0 bridges No railway,0 bridges No railway,2.95449620801733,
Maroubra,1.74260320085041,14.2084745762712,13.5538703030528,541,0,0,2,0 bridges No railway,0 bridges No railway,3.16511375947996,
Randwick,1.88211428354757,13.1435028248588,8.39689246425302,561,0,0,2,0 bridges No railway,0 bridges No railway,3.28212351029252,
Roseville,1.90782216841539,15.2514124293785,12.7218127729697,567,1,1,2,1 bridge   Railway,1 bridge   Railway,3.31722643553629,Roseville
Riverview,1.85660847880299,11.45,10.6514814918268,608,1,0,4,1 bridge   No railway,1 bridge   No railway,3.55709642470206,Riverview
Coogee,1.74881985343704,14.1152542372881,10.2657314565077,614,0,0,2,0 bridges No railway,0 bridges No railway,3.59219934994583,
Leichhardt,1.90181786247475,8.70254237288136,6.5338412491119,673,0,0,2,0 bridges No railway,0 bridges No railway,3.9373781148429,
Willoughby East,2.05790960451977,11.2138418079096,8.79447576131256,806,1,0,4,1 bridge   No railway,1 bridge   No railway,4.71549295774648,Willoughby East
Bellevue Hill,1.75118644067797,9.07683615819209,6.1670700602141,877,0,0,2,0 bridges No railway,0 bridges No railway,5.13087757313109,
Mosman,2.04871507397393,13.475988700565,8.13169229679383,923,1,0,4,1 bridge   No railway,1 bridge   No railway,5.4,Mosman
