O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,point_size_identity,size_segment,avg_extra_mins,distance_group
South Melbourne,Albert Park,73,0.015358361774744,1.63988888888889,0.075,-37.8344848634615,144.960886178462,1.91775318723078,-37.8458417618182,144.961000840606,3.14005380732962,-0.0100959121612808,-0.578453157176189,2.5289034972802,-37.8401633126398,144.960943509534,144.960943509534,-37.8401633126398,896,0.825480389576204,0.237773988951783,5.51608072916667,"(-Inf,5]"
Braybrook,Maribyrnong,94,0.00959692898272553,3.32944444444444,0.0833333333333333,-37.7859339178378,144.863113430811,9.86320875034797,-37.773855346087,144.88594517,8.70936173304464,-2.05739378961151,-117.879980941166,9.28628524169631,-37.7798946319624,144.874529300406,144.874529300406,-37.7798946319624,1420,1.30823901026586,0.306174725499557,6.86011737089202,"(-Inf,5]"
Albert Park,South Melbourne,185,0.0178571428571429,1.63911111111111,0.0833333333333333,-37.8458417618182,144.961000840606,3.14005380732962,-37.8344848634615,144.960886178462,1.91775318723078,3.13149674142851,179.421546842824,2.5289034972802,-37.8401633126398,144.960943509534,144.960943509534,-37.8401633126398,1842,1.69702553303501,0.602577917206574,4.64995928338762,"(-Inf,5]"
Port Melbourne,Brighton (Vic.),28,0.00600858369098712,10.8382222222222,0.116666666666667,-37.8385923709091,144.937216997576,3.5171766822414,-37.9086185318868,144.996264241132,10.3714149973092,-0.700542930060328,-40.1381532601852,6.94429583977529,-37.873605451398,144.966740619354,144.966740619354,-37.873605451398,2061,1.8987891550408,0.0912009820636977,4.41834061135371,"(10,20]"
Caulfield - North,Toorak,44,0.00893997445721584,4.032,0.116666666666667,-37.8721286176364,145.019590721455,7.53784779924387,-37.8422599778125,145.016078626562,5.02422801460908,3.02454542226409,173.293687641346,6.28103790692648,-37.8571942977245,145.017834674009,145.017834674009,-37.8571942977245,2319,2.13648328507502,0.143315828957239,5.35329883570505,"(-Inf,5]"
Braybrook,West Footscray - Tottenham,60,0.0238095238095238,2.15055555555556,0.133333333333333,-37.7859339178378,144.863113430811,9.86320875034797,-37.7984754539286,144.870430541429,8.82227251104681,-0.528146701597078,-30.2605769652679,9.34274063069739,-37.7922046858832,144.86677198612,144.86677198612,-37.7922046858832,1420,1.30823901026586,0.195430675850781,6.86011737089202,"(-Inf,5]"
Yarraville,Newport,59,0.0192678227360308,2.82077777777778,0.166666666666667,-37.8168796034375,144.882967158438,7.44689832853633,-37.8394407057143,144.879472820952,8.10626109726516,0.1536623149965,8.80420211950929,7.77657971290075,-37.8281601545759,144.881219989695,144.881219989695,-37.8281601545759,1516,1.39668333772045,0.192173497919935,5.25890501319261,"(-Inf,5]"
Toorak,Prahran - Windsor,92,0.0222222222222222,2.86155555555556,0.183333333333333,-37.8422599778125,145.016078626562,5.02422801460908,-37.8528638282927,144.998128487805,4.69708751091048,1.03721407205858,59.4279887805349,4.86065776275978,-37.8475619030526,145.007103557184,145.007103557184,-37.8475619030526,1908,1.75783100816004,0.299660369637864,4.30301362683438,"(-Inf,5]"
Port Melbourne,St Kilda,73,0.0130023640661939,5.68888888888889,0.183333333333333,-37.8385923709091,144.937216997576,3.5171766822414,-37.8620449607143,144.980546877679,5.01359825774242,-1.07469056160335,-61.5752334624163,4.26538746999191,-37.8503186658117,144.958881937628,144.958881937628,-37.8503186658117,2061,1.8987891550408,0.237773988951783,4.41834061135371,"(5,10]"
Williamstown,Yarraville,87,0.0140485312899106,5.38111111111111,0.183333333333333,-37.8600020551429,144.889689965143,8.28653050855489,-37.8168796034375,144.882967158438,7.44689832853633,2.98693721542247,171.138896114266,7.86671441854561,-37.8384408292902,144.886328561791,144.886328561791,-37.8384408292902,1887,1.73848381152935,0.283374479983632,5.34366278042749,"(5,10]"
Port Melbourne,Caulfield - North,16,0.00905797101449275,9.45977777777778,0.208333333333333,-37.8385923709091,144.937216997576,3.5171766822414,-37.8721286176364,145.019590721455,7.53784779924387,-1.18416445929081,-67.8476257667544,5.52751224074263,-37.8553604942727,144.978403859515,144.978403859515,-37.8553604942727,2061,1.8987891550408,0.0521148468935416,4.41834061135371,"(5,10]"
Fitzroy North,Yarra - North,22,0.0286343612334802,2.77388888888889,0.216666666666667,-37.7836068748148,144.984174905926,4.09932402479186,-37.7892518904762,145.006046578571,4.65049798516124,-1.31821148562073,-75.5279546317381,4.37491100497655,-37.7864293826455,144.995110742249,144.995110742249,-37.7864293826455,1226,1.12950776520137,0.0716579144786197,7.6271207177814,"(-Inf,5]"
Pascoe Vale South,Coburg,108,0.0358974358974359,2.67188888888889,0.233333333333333,-37.7439227441667,144.938836859167,8.63093681830933,-37.7449590106667,144.962150977833,8.14848566655979,-1.5263775393071,-87.454990945861,8.38971124243456,-37.7444408774167,144.9504939185,144.9504939185,-37.7444408774167,1321,1.21703079757831,0.351775216531406,5.06030153923795,"(-Inf,5]"
Flemington,Parkville,55,0.0232198142414861,2.42722222222222,0.25,-37.7848367109524,144.930850302857,4.91790948119001,-37.7873663776923,144.952593611538,3.66782659607037,-1.4549747138134,-83.3639103997624,4.29286803863019,-37.7861015443224,144.941721957198,144.941721957198,-37.7861015443224,732,0.674387996841274,0.179144786196549,3.83615664845173,"(-Inf,5]"
West Footscray - Tottenham,Maribyrnong,47,0.0330578512396694,4.03966666666667,0.333333333333333,-37.7984754539286,144.870430541429,8.82227251104681,-37.773855346087,144.88594517,8.70936173304464,-2.57929075607271,-147.782474460074,8.76581712204573,-37.7861654000078,144.878187855715,144.878187855715,-37.7861654000078,1192,1.0981837325612,0.153087362749778,9.0074384787472,"(-Inf,5]"
Newport,Yarraville,102,0.0416666666666667,2.82022222222222,0.333333333333333,-37.8394407057143,144.879472820952,8.10626109726516,-37.8168796034375,144.882967158438,7.44689832853633,-2.98793033859329,-171.195797880491,7.77657971290075,-37.8281601545759,144.881219989695,144.881219989695,-37.8281601545759,2198,2.02500658067913,0.332232148946328,5.15713527449196,"(-Inf,5]"
Elwood,Prahran - Windsor,86,0.0278833967046895,4.18588888888889,0.366666666666667,-37.88012693225,144.9856977465,7.07440865868294,-37.8528638282927,144.998128487805,4.69708751091048,-2.71379781648779,-155.489161336569,5.88574808479671,-37.8664953802713,144.991913117152,144.991913117152,-37.8664953802713,2636,2.42853382469071,0.280117302052786,7.21703654527061,"(-Inf,5]"
Southbank,Sunshine West,12,0.0198347107438017,20.103,0.4,-37.8253100678571,144.963518120357,0.882244806193993,-37.7944862204444,144.810065714,14.0982656621366,1.76902742398319,101.357805237137,7.49025523416532,-37.8098981441508,144.886791917179,144.886791917179,-37.8098981441508,927,0.854040536983417,0.0390861351701562,3.26910284070478,"(20, Inf]"
Williamstown,Newport,132,0.06265664160401,3.10633333333333,0.416666666666667,-37.8600020551429,144.889689965143,8.28653050855489,-37.8394407057143,144.879472820952,8.10626109726516,2.68041994088111,153.576749935193,8.19639580291002,-37.8497213804286,144.884581393048,144.884581393048,-37.8497213804286,1887,1.73848381152935,0.429947486871718,5.34366278042749,"(-Inf,5]"
Caulfield - North,Elsternwick,206,0.073972602739726,2.70677777777778,0.45,-37.8721286176364,145.019590721455,7.53784779924387,-37.8866257832143,145.007367637143,8.37608660237134,0.700495721748356,40.1354484231513,7.9569672008076,-37.8793772004254,145.013479179299,145.013479179299,-37.8793772004254,2319,2.13648328507502,0.670978653754348,5.35329883570505,"(-Inf,5]"
Surrey Hills (West) - Canterbury,Hawthorn East,101,0.0402384500745157,4.104,0.45,-37.8245869874419,145.084853335814,10.312781026281,-37.8300801216129,145.050241207097,7.36839519466795,1.41340353570826,80.9820573449516,8.84058811047446,-37.8273335545274,145.067547271456,145.067547271456,-37.8273335545274,1451,1.33679915767307,0.328974971015481,6.39237307603951,"(-Inf,5]"
Toorak,Armadale,81,0.0773480662983425,2.35177777777778,0.466666666666667,-37.8422599778125,145.016078626562,5.02422801460908,-37.8572927531579,145.019771685263,6.31434193911189,-0.24089652410865,-13.8023541307971,5.66928497686048,-37.8497763654852,145.017925155913,145.017925155913,-37.8497763654852,1908,1.75783100816004,0.263831412398554,4.30301362683438,"(-Inf,5]"
Moonee Ponds,Brunswick West,11,0.0642201834862385,2.83433333333333,0.466666666666667,-37.76550642625,144.920183736875,7.18788811887892,-37.7635502270968,144.943012821935,6.44357174994118,-1.65627641839033,-94.8976484808101,6.81572993441005,-37.7645283266734,144.931598279405,144.931598279405,-37.7645283266734,1862,1.71545143458805,0.0358289572393098,7.28967955603294,"(-Inf,5]"
Richmond (Vic.),Keilor,22,0.0138490926456543,29.8547777777778,0.483333333333333,-37.8201135681967,145.001203445246,2.94866416903657,-37.7168960757692,144.836042421154,16.1445162311559,2.12936016706299,122.003350635981,9.54659020009624,-37.768504821983,144.9186229332,144.9186229332,-37.768504821983,3452,3.18031060805475,0.0716579144786197,6.50903341058324,"(20, Inf]"
Elwood,St Kilda East,39,0.0609504132231405,2.51111111111111,0.491666666666667,-37.88012693225,144.9856977465,7.07440865868294,-37.8668936202564,144.998685951282,6.06770716514806,-2.36554177834381,-135.535560160972,6.5710579119155,-37.8735102762532,144.992191848891,144.992191848891,-37.8735102762532,2636,2.42853382469071,0.127029939303008,7.21703654527061,"(-Inf,5]"
Brunswick West,Brunswick,165,0.084985835694051,2.01411111111111,0.5,-37.7635502270968,144.943012821935,6.44357174994118,-37.7658570062,144.9622128502,5.83016236805413,-1.45122488735373,-83.1490611697173,6.13686705899765,-37.7647036166484,144.952612836067,144.952612836067,-37.7647036166484,1773,1.63345617267702,0.537434358589647,7.15520774581688,"(-Inf,5]"
Prahran - Windsor,South Yarra - East,133,0.0672645739910314,1.833,0.5,-37.8528638282927,144.998128487805,4.69708751091048,-37.8402598080645,144.995297386774,3.45388538697645,2.92064098698703,167.34040202728,4.07548644894347,-37.8465618181786,144.996712937289,144.996712937289,-37.8465618181786,2531,2.33179784153725,0.433204664802564,6.31598182536547,"(-Inf,5]"
Prahran - Windsor,Toorak,45,0.0666666666666667,2.86144444444444,0.5,-37.8528638282927,144.998128487805,4.69708751091048,-37.8422599778125,145.016078626562,5.02422801460908,-2.10437858153121,-120.572011219465,4.86065776275978,-37.8475619030526,145.007103557184,145.007103557184,-37.8475619030526,2531,2.33179784153725,0.146573006888086,6.31598182536547,"(-Inf,5]"
