O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,point_size_identity,size_segment,avg_extra_mins,distance_group
Mordialloc - Parkdale,Moorabbin - Heatherton,259,0.00131578947368421,7.21766666666667,0.0166666666666667,-37.995141027907,145.08616044,22.2591222875647,-37.9457522343478,145.061999896522,16.4287588601384,2.68662973626591,153.932545002382,19.3439405738516,-37.9704466311274,145.074080168261,145.061999896522,-37.9457522343478,3494,2.14431001227424,0.882868205040212,6.62811009349361,"(5,10]"
Mount Dandenong - Olinda,Wantirna South,78,0.000611995104039168,17.8351111111111,0.0166666666666667,-37.8639481015625,145.366531689062,35.3886823695331,-37.8736532661702,145.230074633404,23.8492041499713,1.49979340340382,85.9318321566004,29.6189432597522,-37.8688006838664,145.298303161233,145.230074633404,-37.8736532661702,1494,0.916885849552867,0.265883088776589,6.45194109772423,"(10,20]"
Hampton Park - Lynbrook,Lynbrook - Lyndhurst,101,0.00518134715025907,2.57811111111111,0.0333333333333333,-38.0365176002083,145.266911741042,35.7548007173782,-38.0535267735714,145.25500835,36.3317875798813,0.610606385575301,34.9851688372026,36.0432941486298,-38.0450221868899,145.260960045521,145.25500835,-38.0535267735714,4888,2.99982465369104,0.344284512390199,13.3682351336607,"(-Inf,5]"
Dandenong North,Hallam,120,0.00423728813559322,9.47666666666667,0.05,-37.9563088301818,145.211580167636,26.3457145255323,-38.0052517869231,145.272535009615,33.8830180889158,-0.894266508485383,-51.2376966961125,30.1143663072241,-37.9807803085525,145.242057588626,145.272535009615,-38.0052517869231,4205,2.58065930212169,0.409050905810137,5.57519619500595,"(5,10]"
Braybrook,Maribyrnong,94,0.00959692898272553,3.32944444444444,0.0833333333333333,-37.7859339178378,144.863113430811,9.86320875034797,-37.773855346087,144.88594517,8.70936173304464,-2.05739378961151,-117.879980941166,9.28628524169631,-37.7798946319624,144.874529300406,144.88594517,-37.773855346087,2341,1.43669998246537,0.320423209551274,5.70795244197636,"(-Inf,5]"
Albert Park,South Melbourne,185,0.0178571428571429,1.63911111111111,0.0833333333333333,-37.8458417618182,144.961000840606,3.14005380732962,-37.8344848634615,144.960886178462,1.91775318723078,3.13149674142851,179.421546842824,2.5289034972802,-37.8401633126398,144.960943509534,144.960886178462,-37.8344848634615,2001,1.22803787480274,0.630620146457294,4.83598617357988,"(-Inf,5]"
Emerald - Cockatoo,Beaconsfield - Officer,117,0.00444115470022206,21.0434444444444,0.1,-37.9492477330189,145.476916658491,47.0059471465112,-38.0464902123529,145.384745075882,44.5256640414413,0.758633066154968,43.4664728897487,45.7658055939762,-37.9978689726859,145.430830867187,145.384745075882,-38.0464902123529,3211,1.97062949324917,0.398824633164884,13.0924166926191,"(20, Inf]"
Dandenong,Keysborough,163,0.0109090909090909,4.36733333333333,0.1,-37.9868945054839,145.212138016452,28.4973171903251,-37.9926837945652,145.168830199348,26.2321038104859,1.43790646507868,82.3859717835835,27.3647105004055,-37.9897891500246,145.1904841079,145.168830199348,-37.9926837945652,2262,1.38821672803787,0.555627480392103,5.33485853227233,"(-Inf,5]"
Hoppers Crossing - South,Truganina,79,0.00808625336927224,6.88488888888889,0.1,-37.8722355178,144.6847257452,25.568423070473,-37.847031507,144.729554263,21.1630384912112,-2.08298190091722,-119.346071724694,23.3657307808421,-37.8596335124,144.7071400041,144.729554263,-37.847031507,3108,1.90741714886902,0.269291846325007,8.7955947018447,"(5,10]"
Dingley Village,Moorabbin - Heatherton,188,0.00836550836550837,7.93911111111111,0.108333333333333,-37.9799077192308,145.128208536538,22.8464580946731,-37.9457522343478,145.061999896522,16.4287588601384,2.04706435506831,117.288147937084,19.6376084774058,-37.9628299767893,145.09510421653,145.061999896522,-37.9457522343478,2313,1.41951604418727,0.640846419102548,4.79426430321372,"(5,10]"
Reservoir - East,Heidelberg - Rosanna,113,0.00767543859649123,7.08555555555556,0.116666666666667,-37.7153811956897,145.02125139931,12.3534956332485,-37.7448236118182,145.069513977879,12.1002756598158,-1.02302243935022,-58.6148681219459,12.2268856465321,-37.730102403754,145.045382688594,145.069513977879,-37.7448236118182,3424,2.10135016657899,0.385189602971212,9.6605992017134,"(5,10]"
Gladstone Park - Westmeadows,Campbellfield - Coolaroo,340,0.0110429447852761,6.86277777777778,0.15,-37.6823422158333,144.891958654583,16.5009599939906,-37.6694829204545,144.9444417,16.6526591709967,-1.81108066214415,-103.767278298619,16.5768095824936,-37.6759125681439,144.918200177292,144.9444417,-37.6694829204545,3520,2.16026652638962,1.15897756646205,6.15238162878788,"(5,10]"
Melton South,Melton West,191,0.0166051660516605,5.02422222222222,0.15,-37.7056849288462,144.565531991538,37.5007317989156,-37.6755266617857,144.55741333,39.4068096391174,2.87862487898718,164.933056367323,38.4537707190165,-37.690605795316,144.561472660769,144.55741333,-37.6755266617857,2871,1.76196738558653,0.651072691747801,4.84234587251829,"(5,10]"
Deer Park - Derrimut,Laverton,378,0.00834028356964137,16.0841111111111,0.166666666666667,-37.7683074241304,144.767221748261,18.4682836499702,-37.8527976092308,144.773751941538,17.4662790901407,-0.0771360206355581,-4.41956843085151,17.9672813700554,-37.8105525166806,144.7704868449,144.773751941538,-37.8527976092308,4162,2.55426968262318,1.28851035330193,5.69702466762774,"(10,20]"
Glen Waverley - East,Wantirna South,101,0.0166112956810631,6.084,0.166666666666667,-37.8804266059259,145.17659291037,19.6042214040036,-37.8736532661702,145.230074633404,23.8492041499713,-1.69677338852131,-97.2179539523823,21.7267127769875,-37.8770399360481,145.203333771887,145.230074633404,-37.8736532661702,3907,2.39777310187621,0.344284512390199,9.45818829451412,"(5,10]"
Thomastown,Keilor,89,0.00771604938271605,19.1527777777778,0.166666666666667,-37.6804989690741,145.009909468519,15.7443244622025,-37.7168960757692,144.836042421154,16.1445162311559,1.3644375574972,78.1765134537282,15.9444203466792,-37.6986975224217,144.922975944836,144.836042421154,-37.7168960757692,2550,1.56496580746975,0.303379421809185,7.61488888888889,"(10,20]"
Toorak,Prahran - Windsor,92,0.0222222222222222,2.86155555555556,0.183333333333333,-37.8422599778125,145.016078626562,5.02422801460908,-37.8528638282927,144.998128487805,4.69708751091048,1.03721407205858,59.4279887805349,4.86065776275978,-37.8475619030526,145.007103557184,144.998128487805,-37.8528638282927,2126,1.30475188497282,0.313605694454438,4.29822044528065,"(-Inf,5]"
Melton South,Rockbank - Mount Cottrell,78,0.0130952380952381,14.7722222222222,0.183333333333333,-37.7056849288462,144.565531991538,37.5007317989156,-37.745900795,144.675267258333,26.9272979480076,-1.21951539975659,-69.873085457262,32.2140148734616,-37.7257928619231,144.620399624936,144.675267258333,-37.745900795,2871,1.76196738558653,0.265883088776589,4.84234587251829,"(10,20]"
Mulgrave,Wheelers Hill,91,0.0171073094867807,5.96166666666667,0.183333333333333,-37.9278955551163,145.179023383954,22.2033726933516,-37.90899625875,145.18478341,21.5684513415287,-2.84576124187182,-163.050108661163,21.8859120174401,-37.9184459069332,145.181903396977,145.18478341,-37.90899625875,3932,2.41311590391022,0.31019693690602,6.53106561546287,"(5,10]"
Williamstown,Yarraville,87,0.0140485312899106,5.38111111111111,0.183333333333333,-37.8600020551429,144.889689965143,8.28653050855489,-37.8168796034375,144.882967158438,7.44689832853633,2.98693721542247,171.138896114266,7.86671441854561,-37.8384408292902,144.886328561791,144.882967158438,-37.8168796034375,2606,1.59933368402595,0.296561906712349,4.92737592734715,"(5,10]"
Clarinda - Oakleigh South,Clayton,240,0.0182926829268293,5.09844444444445,0.2,-37.93754638625,145.09934711625,17.6019741023329,-37.9173738768421,145.127167247105,17.8243822468278,-2.19817318497384,-125.946046137831,17.7131781745803,-37.9274601315461,145.113257181678,145.127167247105,-37.9173738768421,2244,1.37716991057338,0.818101811620274,3.86979352346999,"(5,10]"
Campbellfield - Coolaroo,Roxburgh Park - Somerton,79,0.0157068062827225,7.87555555555556,0.2,-37.6694829204545,144.9444417,16.6526591709967,-37.6251263270213,144.926135961277,21.7681294105076,2.7501905494586,157.574311340742,19.2103942907521,-37.6473046237379,144.935288830639,144.926135961277,-37.6251263270213,1054,0.646852533754165,0.269291846325007,7.21080012650221,"(5,10]"
Glen Iris - East,Box Hill,89,0.0127681307456588,7.69788888888889,0.208333333333333,-37.8547481581579,145.072679388684,10.0767825514886,-37.8286111078049,145.12419071878,13.791980562639,-2.04034950603404,-116.903415427353,11.9343815570638,-37.8416796329814,145.098435053732,145.12419071878,-37.8286111078049,3145,1.93012449587936,0.303379421809185,5.92152358240594,"(5,10]"
Beaumaris,Mentone,126,0.0289351851851852,2.90977777777778,0.208333333333333,-37.9818509059375,145.039672120625,19.270619244986,-37.9811486364706,145.068559687941,20.1728416291504,-1.5951019791802,-91.3926112999902,19.7217304370682,-37.9814997712041,145.054115904283,145.068559687941,-37.9811486364706,2361,1.44897422409258,0.429503451100644,7.48691938444162,"(-Inf,5]"
Oakleigh - Huntingdale,Clayton,354,0.0256916996047431,3.51277777777778,0.216666666666667,-37.9064696679245,145.10276003566,15.3965272981917,-37.9173738768421,145.127167247105,17.8243822468278,-1.15063857848841,-65.9267342923182,16.6104547725097,-37.9119217723833,145.114963641383,145.127167247105,-37.9173738768421,3658,2.24495879361739,1.2067001721399,5.80145799161655,"(-Inf,5]"
Vermont,Forest Hill,105,0.0323383084577114,3.33811111111111,0.216666666666667,-37.838304666,145.1987032908,20.4097363628508,-37.8392435313636,145.171357404545,18.0377273206998,1.53647684199564,88.0336383659392,19.2237318417753,-37.8387740986818,145.185030347673,145.171357404545,-37.8392435313636,2100,1.28879537085744,0.35791954258387,5.36307936507937,"(-Inf,5]"
Pascoe Vale South,Coburg,108,0.0358974358974359,2.67188888888889,0.233333333333333,-37.7439227441667,144.938836859167,8.63093681830933,-37.7449590106667,144.962150977833,8.14848566655979,-1.5263775393071,-87.454990945861,8.38971124243456,-37.7444408774167,144.9504939185,144.962150977833,-37.7449590106667,1730,1.06172190075399,0.368145815229123,4.96887764932563,"(-Inf,5]"
Berwick - South,Pakenham - South,147,0.0162303664921466,16.8945555555556,0.258333333333333,-38.0570431092105,145.343933547895,42.3597557703491,-38.0771484183333,145.474484893611,52.9539647110004,-1.41799370582591,-81.2450547199398,47.6568602406748,-38.0670957637719,145.409209220753,145.474484893611,-38.0771484183333,4846,2.97404874627389,0.501087359617418,20.2710396890907,"(10,20]"
Mooroolbark,Mount Evelyn,77,0.0268006700167504,6.24422222222222,0.266666666666667,-37.7787531142553,145.323085834043,31.5277648412757,-37.7865629503846,145.382094864615,36.5739628777282,-1.43921122688777,-82.4607291285143,34.050863859502,-37.78265803232,145.352590349329,145.382094864615,-37.7865629503846,4734,2.90531299316149,0.262474331228171,8.48470637938319,"(5,10]"
Doncaster,Blackburn,91,0.0228215767634855,6.26177777777778,0.275,-37.7846950208696,145.123318713696,14.1657939965524,-37.8153263973333,145.152700805556,16.2509791391393,-0.764584432214754,-43.8074610473118,15.2083865678458,-37.8000107091015,145.138009759626,145.152700805556,-37.8153263973333,3378,2.0731194108364,0.31019693690602,9.10432948490231,"(5,10]"
Campbellfield - Coolaroo,Broadmeadows,207,0.041871921182266,3.43377777777778,0.283333333333333,-37.6694829204545,144.9444417,16.6526591709967,-37.6836562218518,144.923192065926,15.4545880843981,0.982569651034929,56.2970940819435,16.0536236276974,-37.6765695711532,144.933816882963,144.923192065926,-37.6836562218518,1054,0.646852533754165,0.705612812522486,7.21080012650221,"(-Inf,5]"
