orig_Suburb,dest_Suburb,free_flow,avg_trip_time_in_am_peak,avg_pc_increase_travel_time,sd_peak_duration,P20,P80
Mornington,CBD,50.7166666666667,69.9720183486239,0.379665166256139,8.17274304076421,61.0066666666667,77.3366666666667
Dandenong,Melbourne Airport,47.2166666666667,66.0120795107034,0.398067338737099,7.94957548351515,56.9133333333333,73.0233333333333
Point Cook,Glen Waverley,41.6166666666667,64.5024024024024,0.549917558728131,9.37201045851849,54.2833333333333,71.8833333333333
Cranbourne,CBD,38.8166666666667,63.6160436137072,0.638884764629639,11.1376410821318,49.6466666666667,73.4766666666667
Melbourne Airport,Dandenong,45.3,61.5307339449541,0.358294347570731,5.86613448690677,56.26,65.78
CBD,Mornington,52.15,61.2084097859327,0.173699132999669,3.24458921532444,59.0333333333333,63.0666666666667
Diamond Creek,CBD,34.1833333333333,61.1671111111111,0.789384040305542,8.31087151780037,50.8833333333333,68.9066666666667
Frankston,CBD,40.55,60.2213333333333,0.48511302918208,8.09283483556137,50.0433333333333,67.3266666666667
Donnybrook,CBD,39.9666666666667,57.580081300813,0.440702618035355,6.6047018390018,49.6666666666667,62.6833333333333
Craigieburn,CBD,38,56.4957777777778,0.486730994152047,5.65794976962465,49.95,61.1366666666667
Glen Waverley,Point Cook,39.0333333333333,55.0013513513514,0.409086712673391,6.03717864031088,49.8666666666667,59.0166666666667
Northern Hospital Epping,Hawthorn,33.4,53.895045045045,0.613624103145061,5.53641461971435,47.9,58.9166666666667
Sunbury,CBD,36.3166666666667,53.1993333333333,0.464873795318954,6.77998037858031,46.45,59.11
Seaford,Richmond,34.7,51.7464831804281,0.491253117591589,7.6072523583346,42.56,58.4333333333333
Dandenong,West Melbourne Port,33.6333333333333,51.4633012820513,0.53012788747427,7.70870365761635,43.62,58.2333333333333
Bacchus Marsh,West Melbourne Port,40.7833333333333,51.230608974359,0.256165320172268,4.47497422782315,45.66,54.3766666666667
Hoppers Crossing,CBD,28.5666666666667,50.8269470404984,0.779239686365173,9.23168696719465,38.8766666666667,58.0133333333333
Hawthorn,Northern Hospital Epping,33.3166666666667,50.3426426426427,0.511034796677618,2.81526295009995,47.2666666666667,52.6333333333333
CBD,Cranbourne,39.1666666666667,49.3428348909657,0.259817061045934,3.27164146940762,46.9833333333333,50.9666666666667
CBD,Frankston,40.0166666666667,48.6628888888889,0.216065528252117,3.55927453777244,46.3233333333333,50.3966666666667
Blackburn,Docklands,28.7166666666667,48.1036697247706,0.675113281187602,6.00030878740663,40.5266666666667,53.1633333333333
CBD,Diamond Creek,35.95,47.6073333333333,0.32426518312471,2.11910946506426,45.6566666666667,49.7333333333333
Caroline Springs,CBD,25.9333333333333,46.8305295950156,0.805804483098287,8.81538507822944,35.7066666666667,53.4466666666667
Dandenong,CBD,27.4666666666667,46.5789719626168,0.695836357862263,8.04277132128349,38.68,53.25
West Melbourne Port,Bacchus Marsh,40.2333333333333,46.286217948718,0.150444522337646,1.47665479972821,45.2833333333333,47.4766666666667
CBD,Donnybrook,40.9,46.150406504065,0.128371797165404,1.7269895443166,45.0333333333333,46.4
Rowville,CBD,25.9,46.0260124610592,0.777066118187614,8.32127371971993,36.9133333333333,52.5933333333333
CBD,Craigieburn,36.9833333333333,43.8151111111111,0.184725852486105,0.996149393220522,43.0366666666667,44.65
Preston,Albert Park,24.3333333333333,43.7775229357798,0.799076285032047,5.20876683437755,37.5333333333333,48.5733333333333
CBD,Sunbury,37.6166666666667,43.6691111111111,0.160897947127455,0.884173038472653,43.1133333333333,44.1733333333333
Bundoora,Footscray,30.4333333333333,42.1568181818182,0.385218560191178,5.2886634163241,36.1066666666667,46.29
West Melbourne Port,Dandenong,31.9,42.1083333333333,0.320010449320794,3.36166439230861,39.93,44.0966666666667
Melbourne Airport,CBD,25.9166666666667,42.0859813084112,0.623896384890465,5.95735242817862,35.1833333333333,46.9666666666667
Richmond,Seaford,35.75,41.5392966360856,0.161938367442955,3.05582702744873,39.1666666666667,43.2733333333333
Clayton,Fitzroy,25.7833333333333,41.0094801223242,0.590542215474757,5.70078389986006,33.85,45.3633333333333
Docklands,Blackburn,30.6166666666667,40.0510703363914,0.308146009898468,2.21326234829341,38.3033333333333,41.5433333333333
Heidelberg,CBD,17.55,39.6481308411215,1.25915275447986,7.33292642063698,30.2466666666667,45.8966666666667
Footscray,Bundoora,30.4333333333333,38.7980303030303,0.274853131534402,3.59697583067975,35.2866666666667,42.1066666666667
Richmond,Keilor,28.3833333333333,38.741131498471,0.364925361073551,4.34563281132932,35.51,40.68
Doncaster,CBD,18.65,38.2501557632399,1.05094668971796,7.27558432938548,28.8033333333333,44.0466666666667
Keilor,Richmond,23.5666666666667,37.1974006116208,0.578390407848124,4.93539078213534,32.01,41.1966666666667
CBD,Dandenong,28.15,36.8442367601246,0.308853881354338,3.33269184299344,34.4933333333333,38.4
Sunshine West,CBD,20.35,36.5306853582555,0.795119673624346,5.04241971585491,31.41,40.5033333333333
Essendon,Richmond,22.6666666666667,36.4253753753754,0.607001854795972,3.91433963550109,32.9666666666667,39.8333333333333
Albert Park,Preston,23.8166666666667,36.2573394495413,0.522351551415309,2.59269751559445,33.1466666666667,38.39
Fitzroy,Clayton,26.4666666666667,36.104128440367,0.364135835278349,2.99524842842115,33.69,37.8633333333333
Oakleigh South,CBD,20.45,35.7702492211838,0.749156441133682,6.14847010510091,27.5833333333333,40.9
CBD,Rowville,27.0666666666667,35.1378504672897,0.298196445835827,3.11021476781867,32.73,36.8366666666667
East Kew,Flemington,17.6833333333333,35.0847094801223,0.984055201514929,5.94751310913521,28.43,40.13
Somerton,West Melbourne Port,24.2,34.5384615384615,0.427209154481882,4.73030640539336,28.9266666666667,38.8833333333333
